|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|''新''|''10 / 35''|''ジンギスカン''&br;　　　SIZE(11){(GENGHIS KHAN)}&br;ジャンル・ダンス|142|[[★×2>難易度表/かんたん/ジンギスカン(GENGHIS KHAN)]]|[[★×3>難易度表/ふつう/ジンギスカン(GENGHIS KHAN)]]|[[★×4>難易度表/むずかしい/ジンギスカン(GENGHIS KHAN)]]|[[★×6>難易度表/おに/ジンギスカン(GENGHIS KHAN)]]|
||''11 / 35''|''ハム太郎とっとこうた''&br;ジャンル・アニメ|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×3>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×4>難易度表/おに/ハム太郎とっとこうた]]|
||''12 / 35''|''サザエさん一家''&br;ジャンル・アニメ|92((むずかしい、ドンだフル！は184))|[[★×2>難易度表/かんたん/サザエさん一家]]|[[★×2>難易度表/ふつう/サザエさん一家]]|[[★×5>難易度表/むずかしい/サザエさん一家]]|[[★×6>難易度表/おに/サザエさん一家]]|
|''新''|''13 / 35''|''ハリケンジャー参上！''&br;ジャンル・戦隊|148|[[★×2>難易度表/かんたん/ハリケンジャー参上!]]|[[★×5>難易度表/ふつう/ハリケンジャー参上!]]|[[★×4>難易度表/むずかしい/ハリケンジャー参上!]]|[[★×5>難易度表/おに/ハリケンジャー参上!]]|
|''新''|''14 / 35''|''タッチ''&br;ジャンル・アニメ|161|[[★×2>難易度表/かんたん/タッチ]]|[[★×3>難易度表/ふつう/タッチ]]|[[★×4>難易度表/むずかしい/タッチ]]|[[★×6>難易度表/おに/タッチ]]|
|''新''|''15 / 35''|''DANCE! おジャ魔女''&br;ジャンル・アニメ|152|[[★×3>難易度表/かんたん/DANCE!おジャ魔女]]|[[★×2>難易度表/ふつう/DANCE!おジャ魔女]]|[[★×3>難易度表/むずかしい/DANCE!おジャ魔女]]|[[★×4>難易度表/おに/DANCE!おジャ魔女]]|
|''新''|''16 / 35''|''愛をとりもどせ！！''&br;ジャンル・アニメ|158|[[★×3>難易度表/かんたん/愛をとりもどせ！！]]|[[★×4>難易度表/ふつう/愛をとりもどせ！！]]|[[★×2>難易度表/むずかしい/愛をとりもどせ！！]]|[[★×8>難易度表/おに/愛をとりもどせ！！]]&br;譜面分岐あり|
|''新''|''17 / 35''|''Yeah!めっちゃホリディ''&br;ジャンル・J-POP|140|[[★×3>難易度表/かんたん/Yeah!めっちゃホリディ]]|[[★×4>難易度表/ふつう/Yeah!めっちゃホリディ]]|[[★×4>難易度表/むずかしい/Yeah!めっちゃホリディ]]|[[★×5>難易度表/おに/Yeah!めっちゃホリディ]]|
|''新''|''18 / 35''|''Feel fine!''&br;ジャンル・J-POP|151|[[★×3>難易度表/かんたん/Feel fine!]]|[[★×2>難易度表/ふつう/Feel fine!]]|[[★×4>難易度表/むずかしい/Feel fine!]]|[[★×5>難易度表/おに/Feel fine!]]|
|''新''|''19 / 35''|''熱き鼓動の果て''&br;ジャンル・J-POP|136-144?|[[★×3>難易度表/かんたん/熱き鼓動の果て]]|[[★×4>難易度表/ふつう/熱き鼓動の果て]]|[[★×2>難易度表/むずかしい/熱き鼓動の果て]]|[[★×3>難易度表/おに/熱き鼓動の果て]]|
|''新''|''20 / 35''|''きよしのズンドコ節''&br;ジャンル・J-POP|106.1|[[★×3>難易度表/かんたん/きよしのズンドコ節]]|[[★×3>難易度表/ふつう/きよしのズンドコ節]]|[[★×2>難易度表/むずかしい/きよしのズンドコ節]]|[[★×4>難易度表/おに/きよしのズンドコ節]]&br;譜面分岐あり|
||''21 / 35''|''ガッツだぜ!!''&br;ジャンル・J-POP|125((ドンだフル！は250))|[[★×3>難易度表/かんたん/ガッツだぜ!!]]|[[★×4>難易度表/ふつう/ガッツだぜ！！]]|[[★×1>難易度表/むずかしい/ガッツだぜ！！]]|[[★×3>難易度表/おに/ガッツだぜ！！]]|
||''22 / 35''|''ミニモニ。テレフォン！リンリンリン''&br;ジャンル・J-POP|150|[[★×3>難易度表/かんたん/ミニモニ。テレフォン！リンリンリン]]|[[★×2>難易度表/ふつう/ミニモニ。テレフォン！リンリンリン]]|[[★×3>難易度表/むずかしい/ミニモニ。テレフォン！リンリンリン]]|[[★×5>難易度表/おに/ミニモニ。テレフォン！リンリンリン]]|
||''23 / 35''|''炭坑節''&br;ジャンル・音頭|89.6|[[★×3>難易度表/かんたん/炭坑節]]|[[★×4>難易度表/ふつう/炭坑節]]|[[★×2>難易度表/むずかしい/炭坑節]]|[[★×4>難易度表/おに/炭坑節]]|
|''新''|''24 / 35''|''ここにいるぜぇ！''&br;ジャンル・J-POP|211((かんたんは105.5))|[[★×4>難易度表/かんたん/ここにいるぜぇ！]]|[[★×5>難易度表/ふつう/ここにいるぜぇ！]]|[[★×6>難易度表/むずかしい/ここにいるぜぇ！]]|[[★×7>難易度表/おに/ここにいるぜぇ！]]|
|''新''|''25 / 35''|''またここであいましょう''&br;ジャンル・J-POP|137|[[★×4>難易度表/かんたん/またここであいましょう]]|[[★×3>難易度表/ふつう/またここであいましょう]]|[[★×5>難易度表/むずかしい/またここであいましょう]]&br;譜面分岐あり|[[★×7>難易度表/おに/またここであいましょう]]|
||''26 / 35''|''夏祭り''&br;ジャンル・J-POP|141|[[★×4>難易度表/かんたん/夏祭り]]|[[★×6>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×8>難易度表/おに/夏祭り]]|
|''新''|''27 / 35''|''TRAIN-TRAIN''&br;ジャンル・J-POP|166-195※|[[★×4>難易度表/かんたん/TRAIN-TRAIN]]|[[★×3>難易度表/ふつう/TRAIN-TRAIN]]|[[★×5>難易度表/むずかしい/TRAIN-TRAIN]]|[[★×7>難易度表/おに/TRAIN-TRAIN]]|
||''28 / 35''|''ルパン三世のテーマ '78''&br;ジャンル・アニメ|138|[[★×4>難易度表/かんたん/ルパン三世のテーマ '78]]|[[★×5>難易度表/ふつう/ルパン三世のテーマ '78]]|[[★×5>難易度表/むずかしい/ルパン三世のテーマ '78]]&br;譜面分岐あり|[[★×5>難易度表/おに/ルパン三世のテーマ '78]]|
|''新''|''29 / 35''|''魔訶不思議アドベンチャー！''&br;ジャンル・アニメ|135|[[★×4>難易度表/かんたん/魔訶不思議アドベンチャー!]]|[[★×3>難易度表/ふつう/魔訶不思議アドベンチャー!]]|[[★×4>難易度表/むずかしい/魔訶不思議アドベンチャー!]]|[[★×7>難易度表/おに/魔訶不思議アドベンチャー!]]|
|''新''|''30 / 35''|''キューティーハニー''&br;ジャンル・アニメ|157|[[★×4>難易度表/かんたん/キューティーハニー]]|[[★×4>難易度表/ふつう/キューティーハニー]]|[[★×4>難易度表/むずかしい/キューティーハニー]]|[[★×6>難易度表/おに/キューティーハニー]]|
|''新''|''31 / 35''|''マジンガーZ''&br;ジャンル・アニメ|180|[[★×4>難易度表/かんたん/マジンガーZ]]|[[★×5>難易度表/ふつう/マジンガーZ]]|[[★×5>難易度表/むずかしい/マジンガーZ]]|[[★×6>難易度表/おに/マジンガーZ]]|
|''新''|''32 / 35''|''ラムのラブソング''&br;ジャンル・アニメ|180|[[★×5>難易度表/かんたん/ラムのラブソング]]|[[★×5>難易度表/ふつう/ラムのラブソング]]|[[★×5>難易度表/むずかしい/ラムのラブソング]]|[[★×9>難易度表/おに/ラムのラブソング]]&br;譜面分岐あり|
|''新''|''33 / 35''|''シーソーゲーム''&br;　　　SIZE(11){〜勇敢な恋の歌〜}&br;ジャンル・J-POP|135|[[★×5>難易度表/かんたん/シーソーゲーム]]|[[★×2>難易度表/ふつう/シーソーゲーム]]|[[★×3>難易度表/むずかしい/シーソーゲーム]]&br;譜面分岐あり|[[★×5>難易度表/おに/シーソーゲーム]]|
|''新''|''34 / 34''|''ロマンスの神様''&br;ジャンル・J-POP|126|[[★×5>難易度表/かんたん/ロマンスの神様]]|[[★×2>難易度表/ふつう/ロマンスの神様]]|[[★×5>難易度表/むずかしい/ロマンスの神様]]|[[★×7>難易度表/おに/ロマンスの神様]]|
|''新''|''35 / 35''|''ヤングマン (Y.M.C.A)''&br;ジャンル・J-POP|134|[[★×5>難易度表/かんたん/ヤングマン（Y.M.C.A）]]|[[★×2>難易度表/ふつう/ヤングマン（Y.M.C.A）]]|[[★×3>難易度表/むずかしい/ヤングマン（Y.M.C.A）]]&br;譜面分岐あり|[[★×4>難易度表/おに/ヤングマン（Y.M.C.A）]]|
