|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
||''11/44''|''エレクトリカルパレード''&br;　　SIZE(11){BAROQUE HOEDOWN}|40-126|[[★×2>難易度表/かんたん/エレクトリカルパレード]]|[[★×3>難易度表/ふつう/エレクトリカルパレード]]|[[★×3>難易度表/むずかしい/エレクトリカルパレード]]|[[★×8>難易度表/おに/エレクトリカルパレード]]|
|''新''|''12/44''|''DANZEN!ふたりはプリキュア''|167|[[★×3>難易度表/かんたん/DANZEN! ふたりはプリキュア]]|[[★×3>難易度表/ふつう/DANZEN! ふたりはプリキュア]]|[[★×3>難易度表/むずかしい/DANZEN! ふたりはプリキュア]]|[[★×6>難易度表/おに/DANZEN! ふたりはプリキュア]]|
|''新''|''13/44''|''ミッキーマウスマーチ''|124|[[★×3>難易度表/かんたん/ミッキーマウス・マーチ]]|[[★×4>難易度表/ふつう/ミッキーマウス・マーチ]]|[[★×4>難易度表/むずかしい/ミッキーマウス・マーチ]]|[[★×8>難易度表/おに/ミッキーマウス・マーチ]]|
|''新''|''14/44''|''宇宙戦艦ヤマト''|140|[[★×3>難易度表/かんたん/宇宙戦艦ヤマト]]|[[★×4>難易度表/ふつう/宇宙戦艦ヤマト]]|[[★×4>難易度表/むずかしい/宇宙戦艦ヤマト]]|[[★×6>難易度表/おに/宇宙戦艦ヤマト]]|
|''新''|''15/44''|''カルメン 組曲1番終曲''|120※|[[★×3>難易度表/かんたん/カルメン組曲一番終曲]]|[[★×4>難易度表/ふつう/カルメン組曲一番終曲]]|[[★×5>難易度表/むずかしい/カルメン組曲一番終曲]]|[[★×8>難易度表/おに/カルメン組曲一番終曲]]|
|''新''|''16/44''|''サザエさん''|121|[[★×3>難易度表/かんたん/サザエさん]]|[[★×1>難易度表/ふつう/サザエさん]]|[[★×3>難易度表/むずかしい/サザエさん]]|[[★×3>難易度表/おに/サザエさん]]|
||''17/44''|''Get Wild''&br;　　SIZE(11){シティーハンターより}|131.8|[[★×3>難易度表/かんたん/Get Wild]]|[[★×4>難易度表/ふつう/Get Wild]]|[[★×3>難易度表/むずかしい/Get Wild]]|[[★×8>難易度表/おに/Get Wild]]|
||''18/44''|''夏祭り''|141※|[[★×3>難易度表/かんたん/夏祭り]]|[[★×3>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×7>難易度表/おに/夏祭り]]|
||''19/44''|''そばかす''|170|[[★×3>難易度表/かんたん/そばかす]]|[[★×4>難易度表/ふつう/そばかす]]|[[★×4>難易度表/むずかしい/そばかす]]|[[★×7>難易度表/おに/そばかす]]|
||''20/44''|''TRAIN-TRAIN''|171-190|[[★×3>難易度表/かんたん/TRAIN-TRAIN]]|[[★×3>難易度表/ふつう/TRAIN-TRAIN]]|[[★×5>難易度表/むずかしい/TRAIN-TRAIN]]|[[★×7>難易度表/おに/TRAIN-TRAIN]]|
|''新''|''21/44''|''夏色''|122|[[★×3>難易度表/かんたん/夏色]]|[[★×3>難易度表/ふつう/夏色]]|[[★×5>難易度表/むずかしい/夏色]]|[[★×7>難易度表/おに/夏色]]|
|''新''|''22/44''|''青い珊瑚礁''|136|[[★×3>難易度表/かんたん/青い珊瑚礁]]|[[★×3>難易度表/ふつう/青い珊瑚礁]]|[[★×3>難易度表/むずかしい/青い珊瑚礁]]|[[★×7>難易度表/おに/青い珊瑚礁]]|
|''新''|''23/44''|''SHAKE''|130|[[★×3>難易度表/かんたん/SHAKE]]|[[★×4>難易度表/ふつう/SHAKE]]|[[★×5>難易度表/むずかしい/SHAKE]]|[[★×8>難易度表/おに/SHAKE]]|
|''新''|''24/44''|''もらい泣き''|90|[[★×3>難易度表/かんたん/もらい泣き]]|[[★×2>難易度表/ふつう/もらい泣き]]|[[★×4>難易度表/むずかしい/もらい泣き]]|[[★×7>難易度表/おに/もらい泣き]]|
|''新''|''25/44''|''さくらんぼ''|170|[[★×4>難易度表/かんたん/さくらんぼ]]|[[★×4>難易度表/ふつう/さくらんぼ]]|[[★×4>難易度表/むずかしい/さくらんぼ]]|[[★×9>難易度表/おに/さくらんぼ]]|
|''新''|''26/44''|''天体観測''|163|[[★×4>難易度表/かんたん/天体観測]]|[[★×5>難易度表/ふつう/天体観測]]|[[★×5>難易度表/むずかしい/天体観測]]|[[★×8>難易度表/おに/天体観測]]|
|''新''|''27/44''|''上海ハニー''|140|[[★×4>難易度表/かんたん/上海ハニー]]|[[★×5>難易度表/ふつう/上海ハニー]]|[[★×4>難易度表/むずかしい/上海ハニー]]|[[★×6>難易度表/おに/上海ハニー]]|
|''新''|''28/44''|''Sunny Day Sunday''|170|[[★×4>難易度表/かんたん/Sunny Day Sunday]]|[[★×3>難易度表/ふつう/Sunny Day Sunday]]|[[★×3>難易度表/むずかしい/Sunny Day Sunday]]|[[★×7>難易度表/おに/Sunny Day Sunday]]|
|''新''|''29/44''|''大迷惑''|187|[[★×4>難易度表/かんたん/大迷惑]]|[[★×4>難易度表/ふつう/大迷惑]]|[[★×6>難易度表/むずかしい/大迷惑]]|[[★×8>難易度表/おに/大迷惑]]|
|''新''|''30/44''|''負けないで''|125|[[★×4>難易度表/かんたん/負けないで]]|[[★×3>難易度表/ふつう/負けないで]]|[[★×2>難易度表/おに/負けないで]]|[[★×2>難易度表/おに/負けないで]]|
||''31/44''|''UFO''|164|[[★×4>難易度表/かんたん/UFO]]|[[★×2>難易度表/ふつう/UFO]]|[[★×3>難易度表/おに/UFO]]|[[★×2>難易度表/おに/UFO]]|
||''32/44''|''ウィリアム・テル序曲''|152※|[[★×4>難易度表/かんたん/ウィリアム・テル序曲]]|[[★×5>難易度表/ふつう/ウィリアム・テル序曲]]|[[★×6>難易度表/むずかしい/ウィリアム・テル序曲]]&br;SIZE(10){譜面分岐あり}|[[★×7>難易度表/おに/ウィリアム・テル序曲]]|
|''新''|''33/44''|''ソーラン節''|94|[[★×4>難易度表/かんたん/ソーラン節]]|[[★×1>難易度表/ふつう/ソーラン節]]|[[★×2>難易度表/おに/ソーラン節]]|[[★×2>難易度表/おに/ソーラン節]]|
||''34/44''|''踊る大捜査線のテーマ''&br;　　SIZE(11){Rhythm and Police}|140.9|[[★×4>難易度表/かんたん/Rhythm and Police]]|[[★×5>難易度表/ふつう/Rhythm and Police]]|[[★×6>難易度表/むずかしい/Rhythm and Police]]|[[★×8>難易度表/おに/Rhythm and Police]]|
||''35/44''|''タッチ''|160|[[★×4>難易度表/かんたん/タッチ]]|[[★×4>難易度表/ふつう/タッチ]]|[[★×5>難易度表/むずかしい/タッチ]]|[[★×6>難易度表/おに/タッチ]]|
|''新''|''36/44''|''チャレンジャー!!''&br;　　SIZE(11){ポケットモンスターAGより}|170|[[★×4>難易度表/かんたん/チャレンジャー!!]]|[[★×3>難易度表/ふつう/チャレンジャー!!]]|[[★×4>難易度表/むずかしい/チャレンジャー!!]]|[[★×5>難易度表/おに/チャレンジャー!!]]|
|''新''|''37/44''|''GO!!!''&br;　　SIZE(11){NARUTOより}|134|[[★×4>難易度表/かんたん/GO!!!]]|[[★×4>難易度表/ふつう/GO!!!]]|[[★×4>難易度表/むずかしい/GO!!!]]|[[★×8>難易度表/おに/GO!!!]]|
||''38/44''|''交響曲第五番「運命」''|189※|[[★×5>難易度表/かんたん/交響曲第五番「運命」]]|[[★×5>難易度表/ふつう/交響曲第五番「運命」]]|[[★×5>難易度表/むずかしい/交響曲第五番「運命」]]|[[★×6>難易度表/おに/交響曲第五番「運命」]]|
||''39/44''|''クラシックメドレー（運動会編）''|70-160|[[★×5>難易度表/かんたん/クラシックメドレー(運動会編)]]|[[★×5>難易度表/ふつう/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|
||''40/44''|''ラムのラブソング''|180|[[★×5>難易度表/かんたん/ラムのラブソング]]|[[★×5>難易度表/ふつう/ラムのラブソング]]|[[★×5>難易度表/むずかしい/ラムのラブソング]]|[[★×9>難易度表/おに/ラムのラブソング]]&br;SIZE(10){譜面分岐あり}|
||''41/44''|''ルパン三世のテーマ'78''|138|[[★×5>難易度表/かんたん/ルパン三世のテーマ '78]]|[[★×5>難易度表/ふつう/ルパン三世のテーマ '78]]|[[★×5>難易度表/むずかしい/ルパン三世のテーマ '78]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/ルパン三世のテーマ '78]]|
||''42/44''|''大切なもの''|205|[[★×5>難易度表/かんたん/大切なもの]]|[[★×5>難易度表/ふつう/大切なもの]]|[[★×5>難易度表/むずかしい/大切なもの]]|[[★×5>難易度表/おに/大切なもの]]|
|''新''|''43/44''|''日本ブレイク工業社歌''|180|[[★×5>難易度表/かんたん/日本ブレイク工業社歌]]|[[★×5>難易度表/ふつう/日本ブレイク工業社歌]]|[[★×5>難易度表/むずかしい/日本ブレイク工業社歌]]|[[★×8>難易度表/おに/日本ブレイク工業社歌]]|
|''新''|''44/44''|''自由　女子十二楽坊''|130|[[★×5>難易度表/かんたん/自由 女子十二楽坊]]|[[★×5>難易度表/ふつう/自由 女子十二楽坊]]|[[★×5>難易度表/むずかしい/自由 女子十二楽坊]]|[[★×9>難易度表/おに/自由 女子十二楽坊]]|
